time,strategy,symbol,side,timeframe,setup_type,entry,stop,tp1,tp2,tp3,planned_rr,trigger,status,last_checked
2026-09-19T12:45:36.162879+00:00,CURRENT,LAB-USDT-SWAP,LONG,1h/30m/15m,Breakout,0.05374,0.0520505,0.055851875,0.057119,0.0588085,2,Bullish candle + 15m structure/momentum,TP3,2026-09-19T16:43:01.699558+00:00
2026-09-19T13:14:56.995584+00:00,CREAMER_CRYPTO,NEIRO-USDT-SWAP,SHORT,1h/30m/15m,upside sweep/reclaim | 1H env=LONG L3/S0 | location score 3,9.28e-05,9.3254e-05,9.22325e-05,9.1892e-05,9.1438e-05,2,"absorption proxy, reaction candle, volume confirmation | score 4",TP2_THEN_STOP,2026-09-19T16:43:02.349766+00:00
2026-09-19T13:15:15.109718+00:00,CREAMER_CRYPTO,ACH-USDT-SWAP,SHORT,1h/30m/15m,VAH/premium rejection | 1H env=LONG L5/S0 | location score 3,0.006016,0.00616447857143,0.00583040178571,0.00571904285714,0.00557056428571,2,"displacement, 15m structure break, volume confirmation | score 4",TP1,2026-09-20T08:55:34.818059+00:00
2026-09-19T13:15:24.555154+00:00,CURRENT,CHIP-USDT-SWAP,SHORT,1h/30m/15m,Breakdown,0.04368,0.0456114285714,0.0412657142857,0.0398171428571,0.0378857142857,2,Bearish candle + 15m structure/momentum,TP1,2026-09-20T08:55:35.008511+00:00
2026-09-19T13:15:32.081264+00:00,CURRENT,XLM-USDT-SWAP,LONG,1h/30m/15m,Breakout,0.20164,0.1931505,0.212251875,0.218619,0.2271085,2,Bullish candle + 15m structure/momentum,STOP,2026-09-20T02:55:54.432412+00:00
2026-09-19T13:15:34.309282+00:00,CREAMER_CRYPTO,FIL-USDT-SWAP,SHORT,1h/30m/15m,upside sweep/reclaim | 1H env=LONG L5/S0 | location score 3,0.9919,1.00956285714,0.969821428571,0.956574285714,0.938911428571,2,"absorption proxy, reaction candle, volume confirmation | score 4",STOP,2026-09-19T16:54:11.384806+00:00
2026-09-19T13:15:35.908359+00:00,CREAMER_CRYPTO,FLOCK-USDT-SWAP,SHORT,1h/30m/15m,upside sweep/reclaim + failed breakout | 1H env=LONG L5/S0 | location score 4,0.07287,0.074993,0.07021625,0.068624,0.066501,2,"displacement, 15m structure break, volume confirmation | score 4",STOP,2026-09-19T16:43:03.992659+00:00
2026-09-19T13:29:41.378473+00:00,CREAMER_CRYPTO,RVN-USDT-SWAP,SHORT,1h/30m/15m,VAH/premium rejection | 1H env=LONG L5/S0 | location score 3,0.002276,0.00230002857143,0.00224596428571,0.00222794285714,0.00220391428571,2,"displacement, 15m structure break, volume confirmation | score 4",STOP,2026-09-19T17:26:21.517738+00:00
2026-09-19T13:42:02.285151+00:00,CREAMER_CRYPTO,PEPE-USDT-SWAP,SHORT,1h/30m/15m,upside sweep/reclaim + VAH/premium rejection | 1H env=LONG L3/S0 | location score 4,3.811e-06,3.84700714286e-06,3.76599107143e-06,3.73898571429e-06,3.70297857143e-06,2,"absorption proxy, failed auction/reclaim, reaction candle, volume confirmation | score 6",STOP,2026-09-19T14:41:56.136279+00:00
2026-09-19T13:42:04.888899+00:00,CREAMER_CRYPTO,FLOKI-USDT-SWAP,SHORT,1h/30m/15m,upside sweep/reclaim | 1H env=LONG L5/S0 | location score 3,2.598e-05,2.62948571429e-05,2.55864285714e-05,2.53502857143e-05,2.50354285714e-05,2,"absorption proxy, failed auction/reclaim, reaction candle, volume confirmation | score 6",STOP,2026-09-19T16:43:04.884680+00:00
2026-09-19T13:42:09.581280+00:00,CREAMER_CRYPTO,DOGE-USDT-SWAP,SHORT,1h/30m/15m,upside sweep/reclaim + failed breakout | 1H env=LONG L5/S0 | location score 4,0.08864,0.0899709285714,0.0869763392857,0.0859781428571,0.0846472142857,2,"absorption proxy, failed auction/reclaim, reaction candle, displacement | score 7",STOP,2026-09-19T17:26:22.179409+00:00
2026-09-19T13:42:19.577957+00:00,CREAMER_CRYPTO,XRP-USDT-SWAP,SHORT,1h/30m/15m,upside sweep/reclaim + VAH/premium rejection | 1H env=LONG L5/S0 | location score 4,1.4362,1.45072428571,1.41804464286,1.40715142857,1.39262714286,2,"absorption proxy, failed auction/reclaim, displacement, volume confirmation | score 6",STOP,2026-09-19T14:41:57.266126+00:00
2026-09-19T13:42:23.814833+00:00,CREAMER_CRYPTO,RSR-USDT-SWAP,SHORT,1h/30m/15m,upside sweep/reclaim | 1H env=LONG L5/S0 | location score 3,0.001585,0.00159632857143,0.00157083928571,0.00156234285714,0.00155101428571,2,"failed auction/reclaim, reaction candle, volume confirmation | score 4",STOP,2026-09-19T14:14:55.532306+00:00
2026-09-19T13:42:37.407431+00:00,CREAMER_CRYPTO,XLM-USDT-SWAP,SHORT,1h/30m/15m,VAH/premium rejection | 1H env=LONG L5/S0 | location score 3,0.20045,0.204494642857,0.195394196429,0.192360714286,0.188316071429,2,"absorption proxy, failed auction/reclaim, reaction candle, volume confirmation | score 6",TP2,2026-09-20T08:55:35.199503+00:00
2026-09-19T13:42:39.929817+00:00,CURRENT,CNPY-USDT-SWAP,SHORT,1h/30m/15m,Breakdown,0.488,0.548737142857,0.412078571429,0.366525714286,0.305788571429,2,Bearish candle + 15m structure/momentum,TP1,2026-09-20T08:55:35.390398+00:00
2026-09-19T13:53:29.045106+00:00,CREAMER_CRYPTO,STRK-USDT-SWAP,SHORT,1h/30m/15m,upside sweep/reclaim | 1H env=LONG L5/S0 | location score 3,0.04316,0.0482016428571,0.0368579464286,0.0330767142857,0.0280350714286,2,"displacement, 15m structure break, volume confirmation | score 4",OPEN,2026-09-20T08:55:35.580012+00:00
2026-09-19T13:53:39.516008+00:00,CREAMER_CRYPTO,CAP-USDT-SWAP,SHORT,1h/30m/15m,upside sweep/reclaim + failed breakout | 1H env=LONG L3/S0 | location score 4,0.0535,0.0794468571429,0.0210664285714,0.00160628571429,-0.0243405714286,2,"displacement, 15m structure break, volume confirmation | score 4",OPEN,2026-09-20T08:55:35.777350+00:00
2026-09-19T13:54:26.011172+00:00,CURRENT,NEAR-USDT-SWAP,SHORT,1h/30m/15m,Breakdown,3.556,3.69808571429,3.37839285714,3.27182857143,3.12974285714,2,Bearish candle + 15m structure/momentum,OPEN,2026-09-20T08:55:35.988170+00:00
2026-09-19T14:14:58.293501+00:00,CURRENT,SATS-USDT-SWAP,LONG,1h/30m/15m,Breakout,1.1319e-08,1.11429571429e-08,1.15390535714e-08,1.16710857143e-08,1.18471285714e-08,2,Bullish candle + 15m structure/momentum,TP1_THEN_STOP,2026-09-20T02:55:56.403294+00:00
2026-09-19T14:42:06.317682+00:00,CURRENT,F-USDT-SWAP,SHORT,1h/30m/15m,Breakdown,0.004085,0.00428756428571,0.00383179464286,0.00367987142857,0.00347730714286,2,Bearish candle + 15m structure/momentum,TP2,2026-09-20T08:55:36.177837+00:00
